company_id,year,return_on_equity_pct
LTIM,2023,26.58
ABB,2021,26.56
ABB,2021,26.56
LTIM,2021,26.53
ASIANPAINT,2017,26.51
ASIANPAINT,2017,26.51
TATAMOTORS,2013,26.51
TITAN,2015,26.46
HEROMOTOCO,2019,26.42
DABUR,2017,26.41
HDFCLIFE,2016,26.33
BAJAJFINSV,2023,26.31
NAUKRI,2021,26.28
ICICIPRULI,2017,26.26
MOTHERSON,2017,26.26
ASIANPAINT,2023,26.23
ASIANPAINT,2023,26.23
DIVISLAB,2016,26.23
TVSMOTOR,2024,26.22
PFC,2022,26.18
PFC,2024,26.16
SHREECEM,2013,26.12
HCLTECH,2017,26.12
GODREJCP,2018,26.11
DIVISLAB,2014,26.08
PFC,2021,25.86
BAJAJFINSV,2024,25.85
PIDILITIND,2013,25.68
DABUR,2019,25.67
ADANIPORTS,2013,25.63
ADANIPORTS,2013,25.63
EICHERMOT,2013,25.55
GODREJCP,2013,25.51
INFY,2021,25.44
INFY,2020,25.42
HEROMOTOCO,2020,25.4
DIVISLAB,2022,25.24
PIDILITIND,2020,25.18
PFC,2023,25.17
ABB,2014,25.13
ABB,2014,25.13
ASIANPAINT,2021,25.04
ASIANPAINT,2021,25.04
TATAMOTORS,2015,25.01
DRREDDY,2014,24.96
ASIANPAINT,2018,24.95
ASIANPAINT,2018,24.95
PIDILITIND,2017,24.86
TVSMOTOR,2018,24.83
INFY,2013,24.82
ITC,2022,24.82
TVSMOTOR,2015,24.75
EICHERMOT,2019,24.7
INFY,2018,24.69
GODREJCP,2017,24.67
ICICIPRULI,2018,24.63
NAUKRI,2018,24.5
HCLTECH,2019,24.46
ABB,2015,24.44
ABB,2015,24.44
ABB,2020,24.39
ABB,2020,24.39
INFY,2015,24.39
DIVISLAB,2015,24.37
TORNTPHARM,2024,24.15
TECHM,2013,24.09
TECHM,2013,24.09
DIVISLAB,2013,24.07
BAJAJ-AUTO,2020,24.06
BAJAJ-AUTO,2020,24.06
DRREDDY,2013,23.98
HCLTECH,2018,23.97
INFY,2014,23.93
ITC,2020,23.89
DABUR,2018,23.8
TVSMOTOR,2023,23.78
INFY,2019,23.73
DRREDDY,2015,23.71
ABB,2018,23.69
ABB,2018,23.69
TITAN,2022,23.63
TVSMOTOR,2016,23.58
BAJAJFINSV,2014,23.53
HDFCLIFE,2018,23.53
IOC,2024,23.53
ASIANPAINT,2019,23.31
ASIANPAINT,2019,23.31
NAUKRI,2019,23.28
HDFCLIFE,2017,23.18
IRCTC,2018,23.14
SUNPHARMA,2013,23.14
PIDILITIND,2014,23.05
SBILIFE,2013,23.03
HCLTECH,2024,23.01
TVSMOTOR,2017,22.96
SIEMENS,2015,22.94
LTIM,2024,22.9
