company_id,year,sales,operating_profit,opm_percentage
HCLTECH,2022.0,85651.0,20529.0,24.0
GRASIM,2021.0,76404.0,18635.0,24.0
ZYDUSLIFE,2021.0,14404.0,3391.0,24.0
IRCTC,2021.0,777.0,188.0,24.0
SHRIRAMFIN,2019.0,15536.0,3801.0,24.0
INFY,2024.0,153670.0,36425.0,24.0
INFY,2023.0,146767.0,35130.0,24.0
LODHA,2015.0,6236.0,1467.0,24.0
NESTLEIND,2021.0,14741.0,3562.0,24.0
NESTLEIND,2024.0,24394.0,5813.0,24.0
ULTRACEMCO,2013.0,20514.0,4839.0,24.0
EICHERMOT,2020.0,9154.0,2183.0,24.0
HCLTECH,2020.0,70676.0,17316.0,24.0
ZYDUSLIFE,2018.0,11905.0,2831.0,24.0
WIPRO,2021.0,61935.0,14771.0,24.0
LODHA,2022.0,9233.0,2186.0,24.0
INFY,2019.0,82675.0,20170.0,24.0
SHRIRAMFIN,2014.0,8476.0,1999.0,24.0
BEL,2019.0,12164.0,2909.0,24.0
DRREDDY,2014.0,13415.0,3251.0,24.0
NESTLEIND,2020.0,13350.0,3202.0,24.0
NESTLEIND,2019.0,12369.0,2926.0,24.0
PFC,2018.0,48624.0,11752.0,24.0
TORNTPHARM,2017.0,5816.0,1377.0,24.0
EICHERMOT,2023.0,14442.0,3446.0,24.0
SHREECEM,2014.0,5715.0,1390.0,24.0
LODHA,2011.0,2173.0,510.0,23.0
DRREDDY,2013.0,11833.0,2669.0,23.0
HAL,2020.0,21445.0,4880.0,23.0
TATAPOWER,2020.0,29136.0,6805.0,23.0
HAL,2019.0,20008.0,4569.0,23.0
ABB,2023.0,5349.0,1206.0,23.0
HAL,2021.0,22882.0,5341.0,23.0
PIDILITIND,2021.0,7293.0,1686.0,23.0
DRREDDY,2015.0,15023.0,3508.0,23.0
TORNTPHARM,2014.0,4172.0,955.0,23.0
LTIM,2013.0,3851.0,870.0,23.0
LTIM,2014.0,4920.0,1147.0,23.0
PFC,2020.0,62189.0,14012.0,23.0
ZYDUSLIFE,2019.0,13166.0,2991.0,23.0
HCLTECH,2019.0,60427.0,13926.0,23.0
